,Rain,Temp,NR,VPD,PET,Sap velocity (cm/h),Sap velocity_LR (cm/h),Sap velocity_o (cm/h),Total SF (cm3/h),Total SF_LR (cm3/h),Total SF_o (cm3/h),S1,S2,S3,S_avg
2021-06-06 18:00:00,0.0,9.213,49.77,0.457152228334382,0.0316746843549517,3.5636838155451978,3.22945535521335,3.322094612691423,217.08351572694608,196.72382811707837,202.36699309707734,0.206,0.0879890006283523,0.0899865452660378,0.12799184863146337
2021-06-06 18:30:00,0.0,8.668,49.77,0.4416637624480166,0.0085364625150576,3.2250056951976935,2.8908458761059315,2.98346875369795,196.45277493447705,176.09726863880357,181.73943583015577,0.206,0.0879890006283523,0.0899865452660378,0.12799184863146337
2021-06-06 19:00:00,0.0,7.82,0.2,0.5114940591433018,0.020927443885253,3.243958053238296,2.9097950999423183,3.002418698169834,197.60726695108724,177.25156973385467,182.89378082306519,0.206,0.0879890006283523,0.0899865452660378,0.12799184863146337
2021-06-06 19:30:00,0.0,7.87,0.2,0.5621576726656474,0.0433269250954775,4.189641867207425,3.8552161674615006,3.947905208496701,255.21405187599467,234.84234933223723,240.48854690159206,0.206,0.0879890006283523,0.0899865452660378,0.12799184863146337
2021-06-06 20:00:00,0.0,6.56,0.2,0.4970476964304875,0.020550049758608,2.1166917261235927,1.7825693082157539,1.8751904840847902,128.93929579629392,108.58606781174977,114.22813134182704,0.207,0.0889119885300703,0.0903471109200768,0.12875303315004902
2021-06-06 20:30:00,0.0,6.737,0.2,0.4921706788286388,2.579746768048764e-05,0.9906747479748264,0.6562965611362599,0.7489974379093153,60.34742933538852,39.97862106326278,45.625539612288584,0.207,0.0889119885300703,0.0903471109200768,0.12875303315004902
2021-06-06 21:00:00,0.0,5.693,0.2,0.4520219083767161,2.437321212789204e-05,1.032674391567122,0.6983110547542208,0.7910074869377383,62.90585784987203,42.53795417421077,48.18460197892457,0.208,0.0898349764317882,0.0907076765741159,0.1295142176686347
2021-06-06 21:30:00,0.0,5.514,0.2,0.4416637624480166,2.4134842509367325e-05,1.0536432325038474,0.719287155920822,0.8119814117242294,64.18318489314315,43.81572347788095,49.462238707352306,0.208,0.0898349764317882,0.0907076765741159,0.1295142176686347
2021-06-06 22:00:00,0.0,5.334,0.2,0.4416637624480166,2.389685171169485e-05,1.011684912297141,0.6773142055028096,0.7700128446473485,61.6272736125922,41.25892099096308,46.905703233770275,0.208,0.0898349764317882,0.0907076765741159,0.1295142176686347
2021-06-06 22:30:00,0.0,5.179,0.2,0.4520219083767161,2.369328662745624e-05,0.608900445003315,0.27436843515310344,0.36711493393457995,37.09146382527749,16.713285350323446,22.36298298596165,0.208,0.0898349764317882,0.0907076765741159,0.1295142176686347
2021-06-06 23:00:00,0.0,5.128,0.2,0.4723502769342729,2.3626584162443343e-05,0.6943339812047552,0.35983934021694847,0.4525748130953056,42.29568882377295,21.919786691067376,27.568812678507506,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-06 23:30:00,0.0,5.154,0.2,0.487262598327441,2.366057221567176e-05,0.6943339812047552,0.35983934021694847,0.4525748130953056,42.29568882377295,21.919786691067376,27.568812678507506,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-07 00:00:00,0.0,5.591,0.2,0.5662703218012857,0.0235929181235523,1.5386080612324684,0.9685404985185043,1.0827782210478545,93.72505097146669,58.999110870940086,65.95795675034556,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
